Time measured,Temperature,Relative humidity,Ambient light,Barometric pressure,Sound noise,eTVOC,eCO2,Discomfort index,Heat stroke,Vibration information,SI value,PGA,Seismic intensity,Altitude,Diff_alt,Drone_alt,Drone_alt_diff
2022/04/15 21:49:52,28.53,55.39,244,1004.16,34.19,1211,2236,77.13,25.16,0,0.0,0.0,0.0,79.6287914095732,0.0,0.22,0.0
2022/04/15 21:49:53,28.36,55.76,256,1004.166,36.13,946,2112,76.95,25.05,0,0.0,0.0,0.0,79.53110661071615,-0.09768479885704551,0.347,0.12699999999999997
2022/04/15 21:49:54,28.28,55.93,251,1004.167,43.65,596,1908,76.86,25.0,0,0.0,0.0,0.0,79.50120471833078,-0.029901892385368,0.316,-0.030999999999999972
2022/04/15 21:49:55,28.23,56.07,249,1004.168,36.04,384,1743,76.81,24.97,0,0.0,0.0,0.0,79.47921903621202,-0.021985682118767613,0.457,0.14100000000000001
2022/04/15 21:49:57,28.18,56.18,251,1004.168,34.19,335,1696,76.76,24.94,0,0.0,0.0,0.0,79.46603315476065,-0.013185881451363457,0.322,-0.135
2022/04/15 21:49:58,28.05,56.49,251,1004.168,45.23,286,1645,76.62,24.86,0,0.0,0.0,0.0,79.43174986298712,-0.03428329177353362,0.276,-0.045999999999999985
2022/04/15 21:49:59,27.98,56.66,274,1004.173,46.57,507,1844,76.55,24.82,0,0.0,0.0,0.0,79.36933457218576,-0.06241529080135422,0.347,0.07099999999999995
2022/04/15 21:50:01,27.91,56.87,262,1004.174,56.51,1577,2402,76.48,24.78,0,0.0,0.0,0.0,79.34209561927803,-0.027238952907737257,0.22,-0.12699999999999997
2022/04/15 21:50:02,27.77,57.24,256,1004.173,58.13,1886,2549,76.34,24.7,0,0.0,0.0,0.0,79.31398452316985,-0.028111096108176525,0.214,-0.006000000000000005
2022/04/15 21:50:03,27.7,57.42,260,1004.177,39.27,1850,2532,76.27,24.66,0,0.0,0.0,0.0,79.26040334541715,-0.053581177752704434,0.115,-0.09899999999999999
2022/04/15 21:50:04,27.64,57.6,249,1004.179,49.22,1463,2353,76.21,24.63,0,0.0,0.0,0.0,79.22703403700497,-0.033369308412176224,0.24,0.12499999999999999
2022/04/15 21:50:06,27.58,57.77,246,1004.183,47.17,1134,2195,76.15,24.6,0,0.0,0.0,0.0,79.17611334793293,-0.0509206890720435,-0.005,-0.245
2022/04/15 21:50:07,27.46,58.19,251,1004.188,36.86,428,1780,76.04,24.54,0,0.0,0.0,0.0,79.1006414064891,-0.07547194144382274,-0.039,-0.034
2022/04/15 21:50:08,27.39,58.43,251,1004.194,35.28,394,1753,75.97,24.52,0,0.0,0.0,0.0,79.02958059851727,-0.07106080797183267,0.124,0.163
2022/04/15 21:50:09,27.31,58.73,253,1004.198,45.92,403,1760,75.9,24.48,0,0.0,0.0,0.0,78.97345916307805,-0.05612143543922343,-0.039,-0.163
2022/04/15 21:50:11,27.26,58.93,253,1004.201,34.66,404,1761,75.85,24.47,0,0.0,0.0,0.0,78.93400799911751,-0.039451163960535496,-0.226,-0.187
2022/04/15 21:50:12,27.15,59.33,256,1004.199,35.39,285,1644,75.75,24.41,0,0.0,0.0,0.0,78.92263797884054,-0.01137002027697065,0.056,0.28200000000000003
